loop,timestamp,epochs,batch_size,lr,active_train_samples,val_loss,val_accuracy,public_lb_score,table_url,checkpoint_path
0,2026-09-05T11:47:06.440771,10,16,0.0001,600,NA,69.4167,NA,/home/h3r0-k1ll3r/.local/share/3LC/projects/Intel-Scene/datasets/intel-scene/tables/train,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/best_model.pth
1,2026-09-05T12:07:31.222971,15,16,0.0001,1400,NA,78.0000,NA,/home/h3r0-k1ll3r/.local/share/3LC/projects/Intel-Scene/datasets/intel-scene/tables/train_0000,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/best_model.pth
2,2026-09-05T12:15:50.149315,15,16,0.0001,2200,NA,81.7500,NA,/home/h3r0-k1ll3r/.local/share/3LC/projects/Intel-Scene/datasets/intel-scene/tables/train_0001,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/best_model.pth
3,2026-09-05T12:38:43.970697,15,16,0.0001,2800,NA,82.0000,NA,/home/h3r0-k1ll3r/.local/share/3LC/projects/Intel-Scene/datasets/intel-scene/tables/train_0002,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/best_model.pth
3,2026-09-05T12:59:03.272069,15,16,0.0001,2800,NA,81.0833,NA,/home/h3r0-k1ll3r/.local/share/3LC/projects/Intel-Scene/datasets/intel-scene/tables/train_0002,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/best_model.pth
3,2026-09-05T13:14:36.576614,15,16,0.0001,2800,NA,82.0000,NA,/home/h3r0-k1ll3r/.local/share/3LC/projects/Intel-Scene/datasets/intel-scene/tables/train_0002,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/best_model.pth
3,2026-09-05T14:58:04.574941,15,16,0.0001,2800,NA,81.0000,NA,/home/h3r0-k1ll3r/.local/share/3LC/projects/Intel-Scene/datasets/intel-scene/tables/train_0002,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/best_model_balanced_seed42.pth
ensemble_stacked,2026-09-05T15:00:49+05:30,15,16,0.0001,2800,NA,83.2500,NA,intel-scene/train_0002,stacked_seeds42_43_44_bal_loop2
0,2026-09-05T17:13:22.023007,15,16,0.0001,1107,NA,76.0000,NA,/home/h3r0-k1ll3r/.local/share/3LC/projects/Intel-Scene/datasets/intel-scene/tables/train_0003,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/scratch/clean_model_seed42.pth
0,2026-09-05T18:32:37.520299,15,16,0.0001,1239,NA,76.7500,NA,/home/h3r0-k1ll3r/.local/share/3LC/projects/Intel-Scene/datasets/intel-scene/tables/train_0004,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/scratch/clean_model_seed42_v4.pth
0,2026-09-05T18:38:08.225160,15,16,0.0001,1239,NA,77.0833,NA,/home/h3r0-k1ll3r/.local/share/3LC/projects/Intel-Scene/datasets/intel-scene/tables/train_0004,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/scratch/clean_model_seed43_v4.pth
0,2026-09-05T18:42:42.420751,15,16,0.0001,1239,NA,75.7500,NA,/home/h3r0-k1ll3r/.local/share/3LC/projects/Intel-Scene/datasets/intel-scene/tables/train_0004,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/scratch/clean_model_seed44_v4.pth
0,2026-09-05T19:00:49.787689,15,16,0.0001,2498,NA,77.5000,NA,/home/h3r0-k1ll3r/.local/share/3LC/projects/Intel-Scene/datasets/intel-scene/tables/train_0005,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/scratch/clean_model_seed42_v5.pth
0,2026-09-05T19:08:20.773514,15,16,0.0001,2498,NA,77.5833,NA,/home/h3r0-k1ll3r/.local/share/3LC/projects/Intel-Scene/datasets/intel-scene/tables/train_0005,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/scratch/clean_model_seed43_v5.pth
0,2026-09-05T19:16:17.166435,15,16,0.0001,2498,NA,76.4167,NA,/home/h3r0-k1ll3r/.local/share/3LC/projects/Intel-Scene/datasets/intel-scene/tables/train_0005,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/scratch/clean_model_seed44_v5.pth
0,2026-09-05T22:29:13.159349,15,16,0.0001,1239,NA,76.4167,NA,/home/h3r0-k1ll3r/.local/share/3LC/projects/Intel-Scene/datasets/intel-scene/tables/train_0004,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/scratch/clean_model_seed42_v4_mixup.pth
0,2026-09-05T22:33:23.505026,15,16,0.0001,1239,NA,75.5000,NA,/home/h3r0-k1ll3r/.local/share/3LC/projects/Intel-Scene/datasets/intel-scene/tables/train_0004,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/scratch/clean_model_seed43_v4_mixup.pth
0,2026-09-05T22:37:37.017316,15,16,0.0001,1239,NA,76.4167,NA,/home/h3r0-k1ll3r/.local/share/3LC/projects/Intel-Scene/datasets/intel-scene/tables/train_0004,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/scratch/clean_model_seed44_v4_mixup.pth
0,2026-09-05T22:54:05.575695,15,16,0.0001,2696,NA,75.5833,NA,/home/h3r0-k1ll3r/.local/share/3LC/projects/Intel-Scene/datasets/intel-scene/tables/train_0006,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/scratch/clean_model_seed42_v6.pth
0,2026-09-05T23:01:29.621211,15,16,0.0001,2696,NA,74.7500,NA,/home/h3r0-k1ll3r/.local/share/3LC/projects/Intel-Scene/datasets/intel-scene/tables/train_0006,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/scratch/clean_model_seed43_v6.pth
0,2026-09-05T23:08:39.498168,15,16,0.0001,2696,NA,76.5000,NA,/home/h3r0-k1ll3r/.local/share/3LC/projects/Intel-Scene/datasets/intel-scene/tables/train_0006,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/scratch/clean_model_seed44_v6.pth
0,2026-09-05T23:26:25.165301,15,16,0.0001,2619,NA,75.6667,NA,/home/h3r0-k1ll3r/.local/share/3LC/projects/Intel-Scene/datasets/intel-scene/tables/train_0006b,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/scratch/clean_model_seed42_v6b.pth
0,2026-09-06T00:00:12.266646,15,16,0.0001,2971,NA,79.4167,NA,/home/h3r0-k1ll3r/.local/share/3LC/projects/Intel-Scene/datasets/intel-scene/tables/train_0008,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/scratch/clean_model_seed42_v8.pth
0,2026-09-06T00:07:43.469900,15,16,0.0001,2971,NA,80.1667,NA,/home/h3r0-k1ll3r/.local/share/3LC/projects/Intel-Scene/datasets/intel-scene/tables/train_0008,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/scratch/clean_model_seed43_v8.pth
0,2026-09-06T00:15:20.109795,15,16,0.0001,2971,NA,79.6667,NA,/home/h3r0-k1ll3r/.local/share/3LC/projects/Intel-Scene/datasets/intel-scene/tables/train_0008,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/scratch/clean_model_seed44_v8.pth
0,2026-09-06T01:40:28.872075,15,16,0.0001,3000,NA,77.5833,NA,/home/h3r0-k1ll3r/.local/share/3LC/projects/Intel-Scene/datasets/intel-scene/tables/train_0009,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/scratch/clean_model_seed42_v9.pth
0,2026-09-06T01:48:27.642985,15,16,0.0001,3000,NA,77.0000,NA,/home/h3r0-k1ll3r/.local/share/3LC/projects/Intel-Scene/datasets/intel-scene/tables/train_0009,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/scratch/clean_model_seed43_v9.pth
0,2026-09-06T01:55:57.111491,15,16,0.0001,3000,NA,79.5000,NA,/home/h3r0-k1ll3r/.local/share/3LC/projects/Intel-Scene/datasets/intel-scene/tables/train_0009,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/scratch/clean_model_seed44_v9.pth
0,2026-09-06T02:18:13.459887,15,16,0.0001,3000,NA,79.0833,NA,/home/h3r0-k1ll3r/.local/share/3LC/projects/Intel-Scene/datasets/intel-scene/tables/train_0009,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/scratch/clean_model_seed42_v9_balanced.pth
0,2026-09-06T02:45:22.862650,15,16,0.0001,3000,NA,79.4167,NA,/home/h3r0-k1ll3r/.local/share/3LC/projects/Intel-Scene/datasets/intel-scene/tables/train_0009,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/scratch/clean_model_seed42_v9_trivial.pth
0,2026-09-06T03:13:32.712384,15,16,0.0001,3000,NA,79.3333,NA,/home/h3r0-k1ll3r/.local/share/3LC/projects/Intel-Scene/datasets/intel-scene/tables/train_0009,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/scratch/clean_model_seed43_v9_glacier2x.pth
