id,image_path,filename,model_predicted_class,top2_class,entropy,confidence,margin
5893,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_e1a97f.jpg,pool_e1a97f.jpg,buildings,sea,1.6059,0.3905,0.2251
4146,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_94dc88.jpg,pool_94dc88.jpg,buildings,mountain,1.5969,0.318,0.0078
6545,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_fe1c64.jpg,pool_fe1c64.jpg,buildings,forest,1.5749,0.4359,0.2959
4141,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_94c38d.jpg,pool_94c38d.jpg,buildings,mountain,1.5722,0.3496,0.1044
4870,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_b3b051.jpg,pool_b3b051.jpg,buildings,sea,1.56,0.4186,0.2718
658,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_02dd54.jpg,pool_02dd54.jpg,buildings,street,1.5525,0.3866,0.1571
5732,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_da0e5c.jpg,pool_da0e5c.jpg,buildings,sea,1.5445,0.364,0.1359
983,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_10aa60.jpg,pool_10aa60.jpg,buildings,glacier,1.5403,0.3938,0.1496
3504,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_7942be.jpg,pool_7942be.jpg,buildings,glacier,1.5384,0.3695,0.1308
3968,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_8cbf34.jpg,pool_8cbf34.jpg,buildings,sea,1.537,0.4221,0.2395
4025,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_8f6ade.jpg,pool_8f6ade.jpg,buildings,mountain,1.5227,0.4466,0.2807
3318,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_7141cd.jpg,pool_7141cd.jpg,buildings,street,1.4944,0.3846,0.1141
3529,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_7a080b.jpg,pool_7a080b.jpg,buildings,sea,1.475,0.4792,0.3239
5221,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_c3554e.jpg,pool_c3554e.jpg,buildings,mountain,1.4733,0.394,0.0769
3268,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_6edcf8.jpg,pool_6edcf8.jpg,buildings,mountain,1.4621,0.3297,0.0567
4695,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_abbb20.jpg,pool_abbb20.jpg,buildings,street,1.4466,0.3761,0.0556
3176,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_6b3b21.jpg,pool_6b3b21.jpg,buildings,sea,1.4429,0.4212,0.1176
3257,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_6e7ea2.jpg,pool_6e7ea2.jpg,buildings,forest,1.4399,0.4254,0.1349
6267,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_f1cd78.jpg,pool_f1cd78.jpg,buildings,street,1.4301,0.3769,0.0503
708,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_054155.jpg,pool_054155.jpg,buildings,glacier,1.4258,0.4773,0.2415
5224,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_c35c5e.jpg,pool_c35c5e.jpg,buildings,mountain,1.4212,0.4884,0.3104
1098,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_153044.jpg,pool_153044.jpg,buildings,street,1.4072,0.3331,0.0454
3667,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_7ff225.jpg,pool_7ff225.jpg,buildings,street,1.4035,0.5032,0.2995
5370,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_c9b93c.jpg,pool_c9b93c.jpg,buildings,street,1.4031,0.3607,0.0282
4609,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_a8e852.jpg,pool_a8e852.jpg,buildings,street,1.4004,0.435,0.1109
2993,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_63e588.jpg,pool_63e588.jpg,buildings,street,1.3997,0.3596,0.0051
5205,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_c2892d.jpg,pool_c2892d.jpg,buildings,sea,1.3936,0.4402,0.1211
3780,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_8458c2.jpg,pool_8458c2.jpg,buildings,sea,1.3911,0.5109,0.3479
6076,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_e97a8e.jpg,pool_e97a8e.jpg,buildings,sea,1.3894,0.4821,0.2673
5926,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_e37a1a.jpg,pool_e37a1a.jpg,buildings,street,1.387,0.3955,0.0625
5421,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_cbddc9.jpg,pool_cbddc9.jpg,buildings,street,1.3815,0.3681,0.0718
2768,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_5b2cb3.jpg,pool_5b2cb3.jpg,buildings,mountain,1.3797,0.5377,0.3572
1685,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_2ed45d.jpg,pool_2ed45d.jpg,buildings,forest,1.3778,0.4594,0.2268
4836,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_b21333.jpg,pool_b21333.jpg,buildings,street,1.3721,0.4216,0.1307
6175,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_ed6e0d.jpg,pool_ed6e0d.jpg,buildings,mountain,1.3685,0.5029,0.2533
3623,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_7e344d.jpg,pool_7e344d.jpg,buildings,street,1.3669,0.4381,0.1857
2972,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_636324.jpg,pool_636324.jpg,buildings,street,1.3658,0.431,0.1172
3635,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_7ea2c2.jpg,pool_7ea2c2.jpg,buildings,street,1.3654,0.4269,0.1813
