id,image,label,label_name,pair_type,weight,source,reviewed_by,timestamp
606,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_0032e0.jpg,0,buildings,buildings_street,1.0,human_reviewed,expert_human,2026-09-05T18:16:00.277581
635,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_017dd8.jpg,3,mountain,glacier_mountain,1.0,human_reviewed,expert_human,2026-09-05T18:20:27.773169
647,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_022c36.jpg,2,glacier,glacier_sea,1.0,human_reviewed,expert_human,2026-09-05T18:19:38.341183
654,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_02b43d.jpg,3,mountain,glacier_sea,1.0,human_reviewed,expert_human,2026-09-05T18:18:48.977461
658,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_02dd54.jpg,3,mountain,buildings_street,1.0,human_reviewed,expert_human,2026-09-05T17:18:10.581937
678,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_042a5f.jpg,0,buildings,buildings_street,1.0,human_reviewed,expert_human,2026-09-05T18:22:28.353413
681,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_045b6a.jpg,2,glacier,glacier_mountain,1.0,human_reviewed,expert_human,2026-09-05T18:21:07.933255
747,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_06dec0.jpg,1,forest,buildings_street,1.0,human_reviewed,expert_human,2026-09-05T17:18:31.137881
807,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_093ee9.jpg,4,sea,glacier_mountain,1.0,human_reviewed,expert_human,2026-09-05T18:15:37.121592
853,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_0b3a63.jpg,3,mountain,buildings_street,1.0,human_reviewed,expert_human,2026-09-05T18:21:14.320796
857,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_0b5bc3.jpg,2,glacier,glacier_sea,1.0,human_reviewed,expert_human,2026-09-05T18:21:57.848890
871,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_0bd938.jpg,3,mountain,glacier_mountain,1.0,human_reviewed,expert_human,2026-09-05T18:25:10.044759
890,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_0ca478.jpg,2,glacier,glacier_sea,1.0,human_reviewed,expert_human,2026-09-05T18:22:37.556950
983,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_10aa60.jpg,4,sea,glacier_mountain,1.0,human_reviewed,expert_human,2026-09-05T17:18:19.190102
1040,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_12be42.jpg,2,glacier,glacier_sea,1.0,human_reviewed,expert_human,2026-09-05T17:18:13.638100
1078,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_14385d.jpg,2,glacier,glacier_sea,1.0,human_reviewed,expert_human,2026-09-05T18:15:29.349726
1098,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_153044.jpg,4,sea,buildings_street,1.0,human_reviewed,expert_human,2026-09-05T18:19:56.341175
1102,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_1586ba.jpg,2,glacier,glacier_mountain,1.0,human_reviewed,expert_human,2026-09-05T18:20:03.085210
1261,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_1cbb13.jpg,2,glacier,glacier_mountain,1.0,human_reviewed,expert_human,2026-09-05T18:23:01.156827
1276,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_1d34b4.jpg,0,buildings,glacier_mountain,1.0,human_reviewed,expert_human,2026-09-05T18:22:35.517052
1285,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_1de796.jpg,0,buildings,buildings_street,1.0,human_reviewed,expert_human,2026-09-05T18:19:17.033231
1341,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_1fd0ae.jpg,5,street,buildings_street,1.0,human_reviewed,expert_human,2026-09-05T18:20:14.221249
1345,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_1fe81e.jpg,5,street,buildings_street,1.0,human_reviewed,expert_human,2026-09-05T17:18:59.258174
1389,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_21de3e.jpg,2,glacier,glacier_mountain,1.0,human_reviewed,expert_human,2026-09-05T18:24:54.100807
1407,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_22686c.jpg,4,sea,glacier_sea,1.0,human_reviewed,expert_human,2026-09-05T18:15:53.237851
1504,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_26cc9a.jpg,5,street,glacier_mountain,1.0,human_reviewed,expert_human,2026-09-05T18:22:27.161102
1553,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_293c5a.jpg,0,buildings,buildings_street,1.0,human_reviewed,expert_human,2026-09-05T18:19:24.845278
1554,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_2945ce.jpg,3,mountain,forest_mountain,1.0,human_reviewed,expert_human,2026-09-05T18:18:36.545409
1706,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_2fc11a.jpg,4,sea,glacier_sea,1.0,human_reviewed,expert_human,2026-09-05T18:25:15.340764
1717,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_303ffc.jpg,3,mountain,forest_mountain,1.0,human_reviewed,expert_human,2026-09-05T17:18:08.761858
1727,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_3097bb.jpg,2,glacier,glacier_sea,1.0,human_reviewed,expert_human,2026-09-05T18:24:11.676781
1852,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_353dbb.jpg,0,buildings,buildings_street,1.0,human_reviewed,expert_human,2026-09-05T18:16:26.029560
1853,/home/h3r0-k1ll3r/Downloads/hackBlox/Round02/data/train/undefined/pool_353e4e.jpg,3,mountain,glacier_mountain,1.0,human_reviewed,expert_human,2026-09-05T18:23:23.424440
